sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
78,4.0041152309254455,1.9619859622692077,2.8894328485131493,0.09477444683675929,1.9769194616758403,30.877953754024972,full_OnSSET,80.151078262818,72.22373783021682,4500.0,0.9010950244910345
79,4.528932859090341,1.7774960049921034,2.6191478899327647,0.07751993321652123,1.662520240941259,48.37887280814548,full_OnSSET,82.29248439298689,74.1533482395266,4321.0,0.9010950244910345
80,4.0692855245647825,1.769829123810948,2.1560641276035106,0.07167076750860375,1.9947510687334697,48.53714996541788,full_OnSSET,44.14619725064237,39.77991869275363,4029.0,0.9010950244910345
81,4.383881135737631,1.8095566531170584,1.9957165626285798,0.07989835489373738,1.6117251378828965,22.703239205266833,full_OnSSET,23.992519496086707,21.619539942927876,4203.0,0.9010950244910345
82,4.6672643764576005,1.2594341153566777,2.1019813121863122,0.11447971270641612,2.268464201763405,27.276512858613895,full_OnSSET,43.894932031604355,39.55350485405082,5065.0,0.9010950244910345
83,4.182204337402535,1.0028253217191458,2.8554124977818107,0.07875437209355676,2.200980834962463,10.111030536555196,full_OnSSET,65.06525571662368,58.62997819348644,4242.0,0.9010950244910345
84,3.5864285920780272,1.3769406851504633,2.745201991561546,0.0699429522526712,2.0418711435397783,10.36911401552403,full_OnSSET,60.07585096279794,54.134050394642145,3795.0,0.9010950244910345
85,3.2939676464728715,1.346031019971933,2.32686585304114,0.08566906677701729,1.6036345979763127,16.64721214924987,full_OnSSET,31.777831032113763,28.634845432154506,3858.0,0.9010950244910345
86,3.2517289799913898,1.7995330259173246,2.226494203296351,0.08105501608370058,1.6580301355776896,48.81602835334793,full_OnSSET,35.129330860554845,31.65486525214532,3743.0,0.9010950244910345
87,4.848213045866963,1.3201214240916492,2.615047549714015,0.11263031686313671,1.964514815002858,17.02008917693319,full_OnSSET,65.26846890191969,58.81309258366765,5105.0,0.9010950244910345
88,3.375307152609773,1.7556912218631262,2.737351266732683,0.11343799018946032,1.5568503251813905,47.9074685191612,full_OnSSET,69.13394615714564,62.29625490563502,4400.0,0.9010950244910345
89,4.690646527387491,1.5510903120110786,2.4747025574405033,0.12874904505601614,1.7231815763345262,36.74392341737344,full_OnSSET,73.44395256492999,66.17998023521396,5333.0,0.9010950244910345
90,3.8500156715883054,1.2848536150336967,2.0427448291024777,0.10092501238573634,2.2098208140367994,27.55506980841195,full_OnSSET,31.336414129777374,28.237086857732944,4494.0,0.9010950244910345
91,3.897500085640397,1.1220594645696464,2.2757121876254804,0.09608652049468439,2.2311991464161505,14.355473279847729,full_OnSSET,33.692543671588545,30.36018346491533,4413.0,0.9010950244910345
